Aggr started. input=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\conv_entities.json, output=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\aggr_entities.json, log=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\logs\aggr.log
===== [Stage 1] 角色判定（并发=10）=====
[role] 广义文化 -> core | ok=True attempts=1 fallback=False
[role] 知识 -> core | ok=True attempts=1 fallback=False
[role] 狭义文化 -> core | ok=True attempts=1 fallback=False
[role] 道德 -> core | ok=True attempts=1 fallback=False
[role] 信仰 -> core | ok=True attempts=1 fallback=False
[role] 艺术 -> core | ok=True attempts=1 fallback=False
[role] 《原始文化》 -> core | ok=True attempts=1 fallback=False
[role] 物质财富 -> core | ok=True attempts=1 fallback=False
[role] 精神财富 -> core | ok=True attempts=1 fallback=False
[role] 《哲学百科全书》 -> core | ok=True attempts=1 fallback=False
[role] 化 -> non-core | ok=True attempts=1 fallback=False
[role] 能力 -> core | ok=True attempts=1 fallback=False
[role] 文 -> non-core | ok=True attempts=1 fallback=False
[role] culture -> core | ok=True attempts=1 fallback=False
[role] 静态文化 -> core | ok=True attempts=1 fallback=False
[role] cultrua -> core | ok=True attempts=1 fallback=False
[role] 动态文化 -> core | ok=True attempts=1 fallback=False
[role] 法律 -> core | ok=True attempts=1 fallback=False
[role] 精神文化 -> core | ok=True attempts=1 fallback=False
[role] 二分法 -> core | ok=True attempts=1 fallback=False
[role] 物质文化 -> core | ok=True attempts=1 fallback=False
[role] 习惯 -> core | ok=True attempts=1 fallback=False
[role] 文化层次分类 -> core | ok=True attempts=1 fallback=False
[role] 习俗 -> core | ok=True attempts=1 fallback=False
[role] 六分法 -> core | ok=True attempts=1 fallback=False
[role] 思维方式 -> core | ok=True attempts=1 fallback=False
[role] 行为文化 -> core | ok=True attempts=1 fallback=False
[role] 审美情趣 -> core | ok=True attempts=1 fallback=False
[role] 四分法 -> core | ok=True attempts=1 fallback=False
[role] 价值观念 -> core | ok=True attempts=1 fallback=False
[role] 规章制度 -> core | ok=True attempts=1 fallback=False
[role] 三分法 -> core | ok=True attempts=1 fallback=False
[role] 宗教信仰 -> core | ok=True attempts=1 fallback=False
[role] 制度文化 -> core | ok=True attempts=1 fallback=False
[role] 意识形态 -> core | ok=True attempts=1 fallback=False
[role] 组织形式 -> core | ok=True attempts=1 fallback=False
[role] 教育制度 -> core | ok=True attempts=1 fallback=False
[role] 医疗文化 -> core | ok=True attempts=1 fallback=False
[role] 法律制度 -> core | ok=True attempts=1 fallback=False
[role] 政治制度 -> core | ok=True attempts=1 fallback=False
[role] 工具 -> core | ok=True attempts=1 fallback=False
[role] 教育文化 -> core | ok=True attempts=1 fallback=False
[role] 著述文化 -> core | ok=True attempts=1 fallback=False
[role] 服饰 -> non-core | ok=True attempts=1 fallback=False
[role] 行为规范 -> core | ok=True attempts=1 fallback=False
[role] 传播文化 -> non-core | ok=True attempts=1 fallback=False
[role] 文化的结构层次 -> core | ok=True attempts=1 fallback=False
[role] 山顶洞人 -> non-core | ok=True attempts=1 fallback=False
[role] 形而下者谓之器 -> non-core | ok=True attempts=1 fallback=False
[role] 红色铁矿粉粒 -> non-core | ok=True attempts=1 fallback=False
[role] 文物 -> core | ok=True attempts=1 fallback=False
[role] 形而上者谓之道 -> core | ok=True attempts=1 fallback=False
[role] 中国传统文化 -> core | ok=True attempts=1 fallback=False
[role] 建筑物 -> core | ok=True attempts=1 fallback=False
[role] 道学文化 -> core | ok=True attempts=1 fallback=False
[role] 阴阳五行文化 -> core | ok=True attempts=1 fallback=False
[role] 佛学 -> core | ok=True attempts=1 fallback=False
[role] 易学文化 -> core | ok=True attempts=1 fallback=False
[role] 民族文化 -> core | ok=True attempts=1 fallback=False
[role] 地域文化 -> core | ok=True attempts=1 fallback=False
[role] 中医养生文化 -> core | ok=True attempts=1 fallback=False
[role] 中医文化 -> core | ok=True attempts=1 fallback=False
[role] 儒学文化 -> core | ok=True attempts=1 fallback=False
[role] 文化传播 -> core | ok=True attempts=1 fallback=False
[role] 中国本土佛教 -> core | ok=True attempts=1 fallback=False
[role] 本体论 -> core | ok=True attempts=1 fallback=False
[role] 方法论 -> core | ok=True attempts=1 fallback=False
[role] 文化融合 -> core | ok=True attempts=1 fallback=False
[role] 认识论 -> core | ok=True attempts=1 fallback=False
[role] 废止中医案 -> non-core | ok=True attempts=1 fallback=False
[role] 中西医结合 -> core | ok=True attempts=1 fallback=False
[role] 西医文化 -> core | ok=True attempts=1 fallback=False
[role] 中西医汇通 -> core | ok=True attempts=1 fallback=False
[role] 广义的中医文化 -> core | ok=True attempts=1 fallback=False
[role] 思维形态 -> core | ok=True attempts=1 fallback=False
[role] 狭义的中医文化 -> core | ok=True attempts=1 fallback=False
[role] 中医科学化 -> core | ok=True attempts=1 fallback=False
[role] 典籍文献 -> core | ok=True attempts=1 fallback=False
[role] 精神文化层面 -> core | ok=True attempts=1 fallback=False
[role] 道德规范 -> core | ok=True attempts=1 fallback=False
[role] 人物历史 -> core | ok=True attempts=1 fallback=False
[role] 行为方式 -> core | ok=True attempts=1 fallback=False
[role] 中华传统文化 -> core | ok=True attempts=1 fallback=False
[role] 器物场所 -> core | ok=True attempts=1 fallback=False
[role] 传承传播 -> core | ok=True attempts=1 fallback=False
[role] 中医文化学 -> core | ok=True attempts=1 fallback=False
[role] 外来文化 -> core | ok=True attempts=1 fallback=False
[role] 王阳明 -> non-core | ok=True attempts=1 fallback=False
[role] 中医行为文化 -> core | ok=True attempts=1 fallback=False
[role] 《周易》 -> core | ok=True attempts=1 fallback=False
[role] 中医精神文化 -> core | ok=True attempts=1 fallback=False
[role] 中医制度文化 -> core | ok=True attempts=1 fallback=False
[role] 中医物质文化 -> core | ok=True attempts=1 fallback=False
[role] 医学 -> core | ok=True attempts=1 fallback=False
[role] 哲学 -> core | ok=True attempts=1 fallback=False
[role] 《黄帝内经》 -> core | ok=True attempts=1 fallback=False
[role] 典籍 -> core | ok=True attempts=1 fallback=False
[role] 地理 -> core | ok=True attempts=1 fallback=False
[role] 天文 -> core | ok=True attempts=1 fallback=False
[role] 物候 -> core | ok=True attempts=1 fallback=False
[role] 历法 -> core | ok=True attempts=1 fallback=False
[role] 农学 -> core | ok=True attempts=1 fallback=False
[role] 阴阳五行 -> core | ok=True attempts=1 fallback=False
[role] 意象思维 -> core | ok=True attempts=1 fallback=False
[role] 阴阳平衡 -> core | ok=True attempts=1 fallback=False
[role] 西医学免疫认识 -> non-core | ok=True attempts=1 fallback=False
[role] 道家学说 -> core | ok=True attempts=1 fallback=False
[role] 推拿 -> core | ok=True attempts=1 fallback=False
[role] 易 -> core | ok=True attempts=1 fallback=False
[role] 针灸 -> core | ok=True attempts=1 fallback=False
[role] 内丹术 -> core | ok=True attempts=1 fallback=False
[role] 儒 -> core | ok=True attempts=1 fallback=False
[role] 道 -> core | ok=True attempts=1 fallback=False
[role] 直觉思维 -> core | ok=True attempts=1 fallback=False
[role] 佛 -> core | ok=True attempts=1 fallback=False
[role] 天人合一 -> core | ok=True attempts=1 fallback=False
[role] 医经 -> core | ok=True attempts=1 fallback=False
[role] 环境医学 -> core | ok=True attempts=1 fallback=False
[role] 心理医学 -> core | ok=True attempts=1 fallback=False
[role] 社会医学 -> core | ok=True attempts=1 fallback=False
[role] 中医理论体系 -> core | ok=True attempts=1 fallback=False
[role] 精神医学 -> core | ok=True attempts=1 fallback=False
[role] 《汉书·艺文志》 -> core | ok=True attempts=1 fallback=False
[role] 房中 -> core | ok=True attempts=1 fallback=False
[role] 上古名医 -> non-core | ok=True attempts=1 fallback=False
[role] 神仙 -> core | ok=True attempts=1 fallback=False
[role] 经方 -> core | ok=True attempts=1 fallback=False
[role] 废止中医 -> non-core | ok=True attempts=1 fallback=False
[role] 科学化 -> non-core | ok=True attempts=1 fallback=False
[role] 广义中医文化 -> core | ok=True attempts=1 fallback=False
[role] 中医文化学科 -> core | ok=True attempts=1 fallback=False
[role] 西医标准 -> core | ok=True attempts=1 fallback=False
[role] 西学东渐 -> core | ok=True attempts=1 fallback=False
[role] 中医学 -> core | ok=True attempts=1 fallback=False
[role] 科学语言 -> non-core | ok=True attempts=1 fallback=False
[role] 治病方法 -> core | ok=True attempts=1 fallback=False
[role] 理论体系 -> core | ok=True attempts=1 fallback=False
[role] 文化体系 -> core | ok=True attempts=1 fallback=False
[role] 比喻 -> core | ok=True attempts=1 fallback=False
[role] 灵魂观念 -> core | ok=True attempts=1 fallback=False
[role] 鬼神观念 -> core | ok=True attempts=1 fallback=False
[role] 图腾崇拜 -> non-core | ok=True attempts=1 fallback=False
[role] 万物有灵论 -> core | ok=True attempts=1 fallback=False
[role] 鸟图腾 -> non-core | ok=True attempts=1 fallback=False
[role] 自然崇拜 -> core | ok=True attempts=1 fallback=False
[role] 青龙 -> non-core | ok=True attempts=1 fallback=False
[role] 仰韶文化 -> core | ok=True attempts=1 fallback=False
[role] 白虎 -> non-core | ok=True attempts=1 fallback=False
[role] 《伤寒论》 -> core | ok=True attempts=1 fallback=False
[role] 母系氏族社会 -> core | ok=True attempts=1 fallback=False
[role] 星宿 -> non-core | ok=True attempts=1 fallback=False
[role] 人面鱼纹 -> non-core | ok=True attempts=1 fallback=False
[role] 山东汉画像石 -> non-core | ok=True attempts=1 fallback=False
[role] 祖先崇拜 -> core | ok=True attempts=1 fallback=False
[role] 蛙纹 -> non-core | ok=True attempts=1 fallback=False
[role] 父系氏族时期 -> core | ok=True attempts=1 fallback=False
[role] 周公旦 -> non-core | ok=True attempts=1 fallback=False
