"pinyin","chinese_name","original_node_names","node_count","notes"
"bianli","偏历","bianli","1",""
"biguan","髀关","biguan","1",""
"binao","臂臑","binao","1",""
"bingfeng","秉风","bingfeng","1",""
"bulang","步廊","bulang","1",""
"burong","不容","burong","1",""
"changqiang","长强","changqiang","1",""
"chenfu","承扶","chenfu","1",""
"chengman","承满","chengman","1",""
"chenjin","承津","chenjin","1",""
"chenshan","承山","chenshan","1",""
"chize","尺泽","chize","1",""
"chongmen","冲门","chongmen","1",""
"chongyang","冲阳","chongyang","1",""
"ciliao","次髎","ciliao","1",""
"dabao","大包","dabao","1",""
"dachangyu","大肠俞","dachangyu","1",""
"dadu","大都","dadu","1",""
"dahe","大赫","dahe","1",""
"daheng","大横","daheng","1",""
"daimai","带脉","daimai","1",""
"daju","大巨","daju","1",""
"daling","大陵","daling","1",""
"danyu","胆俞","danyu","1",""
"danzhong","膻中","danzhong","1",""
"dashu","大杼","dashu","1",""
"dazhong","大钟","dazhong","1",""
"dazhun","大敦","dazhun","1",""
"diwuhui","地五会","diwuhui","1",""
"dubi","犊鼻","dubi","1",""
"duyu","督俞","duyu","1",""
"erjian","二间","erjian","1",""
"feiyang","飞扬","feiyang | feiyang.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"feiyu","飞羽","feiyu","1",""
"fengshi","风市","fengshi","1",""
"fenlong","丰隆","fenlong","1",""
"fenmen","风门","fenmen","1",""
"fuai","腹哀","fuai","1",""
"fufen","附分","fufen","1",""
"fuhai","腹海","fuhai","1",""
"fujei","附解","fujei","1",""
"fuliu","复溜","fuliu","1",""
"fuque","附缺","fuque","1",""
"fushe","府舍","fushe","1",""
"futonggu","浮痛骨","跗通骨","1",""
"futu","伏兔","futu","1",""
"fuyang","附阳","fuyang | fuyang.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"gan","肝","gan","1",""
"ganyu","肝俞","ganyu","1",""
"gaohuang","膏肓","gaohuang","1",""
"geguan","膈关","geguan","1",""
"geyu","膈俞","geyu","1",""
"gongsun","公孙","gongsun","1",""
