case_id,case_group,prompt,expected_task_type,pair_order,scenario,gold_relation,relation_dimension,expected_rule_exposure,synthetic_fault,fixture_digest
EVO-D1-V2-001,target_fault,请依据当前提供的教材材料与参考材料，讲清阴阳互根互用的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,definition_negation,True,True,af77cf35233ccdad349d5297412f5e9def5fd450f73c86fbd0f48e57ced610da
EVO-D1-V2-002,target_fault,请依据当前提供的教材材料与参考材料，讲清五行生克制化的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,relation_reversal,True,True,9c7346c9793ad06610df9c88635830c1049cc7b41a57cd04b1ad38c83b06ba83
EVO-D1-V2-003,target_fault,请依据当前提供的教材材料与参考材料，讲清心藏象的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,function_negation,True,True,3de074bfea44e8c0d0f48b69126737711b52810adcaf27e7887f96ac13e50ec7
EVO-D1-V2-004,target_fault,请依据当前提供的教材材料与参考材料，讲清肺主宣发肃降的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,direction_swap,True,True,30e590442cfa7fcc081ebf96832cb6cceae681ae5d45e10b8ae7d53f8cf0ef1b
EVO-D1-V2-005,target_fault,请依据当前提供的教材材料与参考材料，讲清脾主运化的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,scope_exclusion,True,True,b2f1bbf487575a5857db7fae5f157578f7967cea3bb6da564729076049c2875a
EVO-D1-V2-006,target_fault,请依据当前提供的教材材料与参考材料，讲清肝主疏泄的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,function_negation,True,True,2a072698530be3511754d5585f31143a0a1fdbd1f7ca935de14a4ba3e03b3b0f
EVO-D1-V2-007,target_fault,请依据当前提供的教材材料与参考材料，讲清肾藏精的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,scope_negation,True,True,8b5fed0c992bfdf400ee6729f8cdbbabdbe9bd6f2485c2f20151a6912719f157
EVO-D1-V2-008,target_fault,请依据当前提供的教材材料与参考材料，讲清气血津液关系的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,relation_negation,True,True,94c1fe0c179a1cfb7e7fb6e20e2f956c07e66d907815d26d7b63ac07e1a06535
EVO-D1-V2-009,target_fault,请依据当前提供的教材材料与参考材料，讲清经络总论的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,function_negation,True,True,6c2419eb32d45a70812f0045a36e291a6583fb6f7c592ca0e96b9b01df210ef6
EVO-D1-V2-010,target_fault,请依据当前提供的教材材料与参考材料，讲清八纲辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,component_exclusion,True,True,c200818140a383217c5f31fee4eb999928aad23eb552a3f6f852a29a0f270c10
EVO-D1-V2-011,target_fault,请依据当前提供的教材材料与参考材料，讲清气血辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,category_collapse,True,True,bd36bfb23093c38ed2ec9b1d3a6d8115b0d83621c78b75c7c1c9ecf99581bf22
EVO-D1-V2-012,target_fault,请依据当前提供的教材材料与参考材料，讲清脏腑辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,criterion_reversal,True,True,e975b97e2779fa46c2ff648e03300ae031f8f7a3e37c8d2c32809511ebe447de
EVO-D1-V2-013,target_fault,请依据当前提供的教材材料与参考材料，讲清六经辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,framework_swap,True,True,159a171d033903b76791de66cf20add1d9f003d3b13484008a6ec4c016697ea6
EVO-D1-V2-014,target_fault,请依据当前提供的教材材料与参考材料，讲清卫气营血辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,framework_swap,True,True,1185165711037994d8c281808148528e41acbfdb7212aa146610fbbabc7a1cad
