Aggr started. input=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\conv_entities.json, output=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\aggr_entities.json, log=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\logs\aggr.log
===== [Stage 1] 角色判定（并发=10）=====
[role] 阴阳五行学说 -> core | ok=True attempts=1 fallback=False
[role] 四性五味 -> core | ok=True attempts=1 fallback=False
[role] 《黄帝内经》 -> core | ok=True attempts=1 fallback=False
[role] 《黄帝八十一难经》 -> core | ok=True attempts=1 fallback=False
[role] 中医学理论体系 -> core | ok=True attempts=1 fallback=False
[role] 脏腑病机理论 -> core | ok=True attempts=1 fallback=False
[role] 《神农本草经》 -> core | ok=True attempts=1 fallback=False
[role] 六经辨证 -> core | ok=True attempts=1 fallback=False
[role] 辨证论治 -> core | ok=True attempts=1 fallback=False
[role] 《伤寒杂病论》 -> core | ok=True attempts=1 fallback=False
[role] 脉诊 -> core | ok=True attempts=1 fallback=False
[role] 方书之祖 -> core | ok=True attempts=1 fallback=False
[role] 针灸甲乙经 -> core | ok=True attempts=1 fallback=False
[role] 寸口诊法 -> core | ok=True attempts=1 fallback=False
[role] 寸关尺 -> core | ok=True attempts=1 fallback=False
[role] 经络腧穴 -> core | ok=True attempts=1 fallback=False
[role] 针灸 -> core | ok=True attempts=1 fallback=False
[role] 脉经 -> core | ok=True attempts=1 fallback=False
[role] 脏腑对应关系 -> core | ok=True attempts=1 fallback=False
[role] 诸病源候论 -> core | ok=True attempts=1 fallback=False
[role] 病因病机 -> core | ok=True attempts=1 fallback=False
[role] 新修本草 -> core | ok=True attempts=1 fallback=False
[role] 寒凉学说 -> core | ok=True attempts=1 fallback=False
[role] 三因学说 -> core | ok=True attempts=1 fallback=False
[role] 脏腑辨证 -> core | ok=True attempts=1 fallback=False
[role] 补土学说 -> core | ok=True attempts=1 fallback=False
[role] 大医精诚 -> core | ok=True attempts=1 fallback=False
[role] 滋阴学说 -> core | ok=True attempts=1 fallback=False
[role] 攻邪学说 -> core | ok=True attempts=1 fallback=False
[role] 金元四大家 -> core | ok=True attempts=1 fallback=False
[role] 命门学说 -> core | ok=True attempts=1 fallback=False
[role] 异气病因 -> core | ok=True attempts=1 fallback=False
[role] 本草纲目 -> core | ok=True attempts=1 fallback=False
[role] 肾为先天本 -> core | ok=True attempts=1 fallback=False
[role] 三焦辨证 -> core | ok=True attempts=1 fallback=False
[role] 温病学 -> core | ok=True attempts=1 fallback=False
[role] 脾为后天本 -> core | ok=True attempts=1 fallback=False
[role] 中西汇通派 -> core | ok=True attempts=1 fallback=False
[role] 经络 -> core | ok=True attempts=1 fallback=False
[role] 四诊客观化 -> core | ok=True attempts=1 fallback=False
[role] 卫气营血辨证 -> core | ok=True attempts=1 fallback=False
[role] 中医学整体观念 -> core | ok=True attempts=1 fallback=False
[role] 藏象 -> core | ok=True attempts=1 fallback=False
[role] 中医药法 -> core | ok=True attempts=1 fallback=False
[role] 辨证与辨病结合 -> core | ok=True attempts=1 fallback=False
[role] 青蒿素 -> non-core | ok=True attempts=1 fallback=False
[role] 五脏 -> core | ok=True attempts=1 fallback=False
[role] 脏腑体窍 -> core | ok=True attempts=1 fallback=False
[role] 精气血津液 -> core | ok=True attempts=1 fallback=False
[role] 整体反应 -> core | ok=True attempts=1 fallback=False
[role] 局部病变 -> core | ok=True attempts=1 fallback=False
[role] 面色 -> core | ok=True attempts=1 fallback=False
[role] 脏腑传变 -> core | ok=True attempts=1 fallback=False
[role] 察外知内 -> core | ok=True attempts=1 fallback=False
[role] 舌象 -> core | ok=True attempts=1 fallback=False
[role] 地理环境 -> core | ok=True attempts=1 fallback=False
[role] 季节气候 -> core | ok=True attempts=1 fallback=False
[role] 整体调节 -> core | ok=True attempts=1 fallback=False
[role] 江南腠理疏松 -> non-core | ok=True attempts=1 fallback=False
[role] 昼夜晨昏 -> core | ok=True attempts=1 fallback=False
[role] 社会环境 -> core | ok=True attempts=1 fallback=False
[role] 污染 -> non-core | ok=True attempts=1 fallback=False
[role] 噪声 -> non-core | ok=True attempts=1 fallback=False
[role] 西北腠理致密 -> non-core | ok=True attempts=1 fallback=False
[role] 心 -> core | ok=True attempts=1 fallback=False
[role] 社会地位变化 -> core | ok=True attempts=1 fallback=False
[role] 养生防治 -> core | ok=True attempts=1 fallback=False
[role] 情志 -> core | ok=True attempts=1 fallback=False
[role] 症 -> core | ok=True attempts=1 fallback=False
[role] 病 -> core | ok=True attempts=1 fallback=False
[role] 异病同治 -> core | ok=True attempts=1 fallback=False
[role] 证 -> core | ok=True attempts=1 fallback=False
[role] 辨病论治 -> core | ok=True attempts=1 fallback=False
[role] 类比 -> core | ok=True attempts=1 fallback=False
[role] 辨证 -> core | ok=True attempts=1 fallback=False
[role] 论治 -> core | ok=True attempts=1 fallback=False
[role] 同病异治 -> core | ok=True attempts=1 fallback=False
[role] 或然性推理 -> core | ok=True attempts=1 fallback=False
[role] 对症治疗 -> core | ok=True attempts=1 fallback=False
[role] 比较法 -> core | ok=True attempts=1 fallback=False
[role] 釜底抽薪法 -> core | ok=True attempts=1 fallback=False
[role] 增水行舟法 -> core | ok=True attempts=1 fallback=False
[role] 同一性 -> core | ok=True attempts=1 fallback=False
[role] 五行特性 -> core | ok=True attempts=1 fallback=False
[role] 差异性 -> non-core | ok=True attempts=1 fallback=False
