case_id,case_group,prompt,expected_task_type,pair_order,target_rule,target_agent,owner_step_id,scenario,dataset_partition
EVO-D1-AB50-001,target_fault,请系统整理阴阳互根互用的学习资料，比较教材与课程讲解的重点，并说明适合我的学习顺序。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-002,target_fault,我想从基础到应用学习五行生克制化，请推荐配套教材和课程，并说明每项资料解决什么问题。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-003,target_fault,请整理心藏象相关的正式教材和教学资源，帮助我建立概念、功能与常见辨析的完整框架。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-004,target_fault,请为肺主宣发肃降整理一份分层学习资源，重点说明如何区分两个功能及其病理表现。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-005,target_fault,我准备学习脾主运化，请推荐教材章节、课程和练习资源，并说明它们各自的学习用途。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-006,target_fault,请整理肝主疏泄的入门与进阶学习资料，分别标出概念理解、辨证和应用的重点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-007,target_fault,请为肾藏精建立一份正式学习资源清单，说明每项资料适合解决哪些理解难点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-008,target_fault,我想系统学习气血津液的关系，请按基础、辨析和应用排列教材与课程资源。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-009,target_fault,请整理经络总论的教材和课程资源，帮助我从基本概念过渡到循行和临床联系。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-010,target_fault,请推荐八纲辨证的入门资料，并说明哪些资源适合掌握概念、鉴别和实际判断。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,legacy_ab50
EVO-D1-AB50-011,target_fault,请整理气血辨证的学习资料，重点帮助我区分气虚、气滞、血虚和血瘀。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-012,target_fault,我想建立脏腑辨证的整体框架，请提供分层次的教材、课程和自测资源。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-013,target_fault,请整理六经辨证的学习资源，说明不同资料分别适合解决入门、辨析和综合应用问题。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-014,target_fault,请为卫气营血辨证推荐正式教材和课程，并给出由浅入深的使用顺序。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-015,target_fault,请整理三焦辨证的入门资料，帮助我理解三焦层次、证候特点和传变关系。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-016,target_fault,请推荐用于辨析心气虚与心阳虚的教材和课程，标出每项资料的侧重点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-017,target_fault,请整理肝气郁结证的教材与视频课程，分别说明适合学习病机、证候和鉴别的内容。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-018,target_fault,我想学习脾气虚证，请提供入门资源清单并说明每项资料对应的学习目标。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-019,target_fault,请整理区分肾阴虚与肾阳虚的学习资料，按概念、证候和应用分类。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-020,target_fault,请为痰湿证整理正式学习资料，并说明哪些内容适合理解病机、哪些适合辨证训练。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,legacy_ab50
EVO-D1-AB50-021,target_fault,请推荐血瘀证的学习资源，帮助我掌握病机、表现和辨证要点之间的联系。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-022,target_fault,请整理风寒感冒辨证的教材和课程资源，并说明各项资料适合解决什么问题。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-023,target_fault,请给我一份风热感冒辨证的学习资源清单，突出与风寒感冒的鉴别重点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-024,target_fault,我想系统学习四君子汤，请整理教材、方剂课程和相关练习资源，并说明使用顺序。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-025,target_fault,请推荐学习四物汤组成、功用和应用辨析的正式资料，说明每项资料的作用。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-026,target_fault,请整理逍遥散的学习资源，帮助我理解方义、证候和常见鉴别。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-027,target_fault,请为六味地黄丸建立一份入门学习资料清单，并说明各项资源的适用阶段。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-028,target_fault,请推荐用于比较麻黄汤与桂枝汤的教材和课程资源，注明各自侧重点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-029,target_fault,请整理原穴概念和临床应用的学习资源，并说明哪些内容适合先学。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-030,target_fault,我想学习五输穴，请提供教材章节、视频和练习资源，并说明每项资料的用途。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,legacy_ab50
EVO-D1-AB50-031,non_regression_control,我今天只有二十分钟，请根据我的当前学习阶段安排一个可完成的复习任务和自测方法。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-032,non_regression_control,我最近连续三天没有完成任务，应该怎样调整今天的学习量，避免计划再次超时？,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-033,non_regression_control,请根据我最近的错题表现，告诉我今天更适合复习旧知识还是学习新章节，并说明理由。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-034,non_regression_control,我看完一节课但记不住，请给我一个适合零基础学习者的主动回忆练习流程。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
