case_id,case_group,topic,prompt,expected_task_type,execution_mode,pair_order,fault_operator,target_rule
EVO-AB50-001,target_fault,阴阳互根互用,请整理阴阳互根互用的入门学习资源，并说明每项资料适合帮助我理解什么。,general_learning_support,paired_frozen_expert_context,AB,stale_removed_reference,require_evidence_ids_from_current_pack
EVO-AB50-002,target_fault,五行生克制化,我想系统学习五行生克制化，请给我一份由浅入深的教材和视频资源清单。,general_learning_support,paired_frozen_expert_context,BA,stale_removed_reference,require_evidence_ids_from_current_pack
EVO-AB50-003,target_fault,心藏象,请推荐适合入门心的藏象理论的学习资料，并分别说明阅读重点。,general_learning_support,paired_frozen_expert_context,AB,stale_removed_reference,require_evidence_ids_from_current_pack
EVO-AB50-004,target_fault,肺主宣发肃降,请整理肺主宣发肃降相关的学习资源，帮助我区分两个功能及其病理表现。,general_learning_support,paired_frozen_expert_context,BA,stale_removed_reference,require_evidence_ids_from_current_pack
EVO-AB50-005,target_fault,脾主运化,请为脾主运化这个知识点整理教材章节和课程资源，并说明各自用途。,general_learning_support,paired_frozen_expert_context,AB,stale_removed_reference,require_evidence_ids_from_current_pack
EVO-AB50-006,target_fault,肝主疏泄,我准备学习肝主疏泄，请推荐一组入门资源并标出每项资源的学习重点。,general_learning_support,paired_frozen_expert_context,BA,near_match_decoy,require_evidence_ids_from_current_pack
EVO-AB50-007,target_fault,肾藏精,请整理肾藏精理论的正式学习资源，并说明它们分别解决哪些理解难点。,general_learning_support,paired_frozen_expert_context,AB,near_match_decoy,require_evidence_ids_from_current_pack
EVO-AB50-008,target_fault,气血津液关系,请给我一份学习气血津液相互关系的资源清单，按基础到进阶排列。,general_learning_support,paired_frozen_expert_context,BA,near_match_decoy,require_evidence_ids_from_current_pack
EVO-AB50-009,target_fault,经络总论,我刚开始学习经络，请整理经络总论的教材和视频资源并说明用途。,general_learning_support,paired_frozen_expert_context,AB,near_match_decoy,require_evidence_ids_from_current_pack
EVO-AB50-010,target_fault,八纲辨证,请推荐八纲辨证入门资源，并说明每项资源适合掌握概念、辨析还是应用。,general_learning_support,paired_frozen_expert_context,BA,near_match_decoy,require_evidence_ids_from_current_pack
EVO-AB50-011,target_fault,气血辨证,请整理气血辨证的学习资料，重点帮助我区分气虚、气滞、血虚和血瘀。,general_learning_support,paired_frozen_expert_context,AB,legacy_summary_unknown_id,require_evidence_ids_from_current_pack
EVO-AB50-012,target_fault,脏腑辨证,我想建立脏腑辨证的整体框架，请提供一份分层次的学习资源清单。,general_learning_support,paired_frozen_expert_context,BA,legacy_summary_unknown_id,require_evidence_ids_from_current_pack
