case_id,case_group,prompt,claim_text,evidence_a_text,evidence_b_text,gold_relation,relation_dimension,gold_rationale,expected_rule_exposure,synthetic_fault,annotation_method,reviewer_decision,reviewer_name,review_notes
EVO-D1-V2-001,target_fault,请依据当前提供的教材材料与参考材料，讲清阴阳互根互用的核心定义，核对两者口径并整理三个复习要点。,阴阳互根强调双方相互依存，并以对方的存在作为自身存在的条件。,《隔离评测教材摘录A》关于阴阳互根互用：阴阳互根强调双方相互依存，并以对方的存在作为自身存在的条件。,《隔离评测参考材料B》关于阴阳互根互用：阴阳互根表示双方彼此完全独立，任何一方都不以对方的存在为条件。,contradiction,definition_negation,两条证据针对同一原子声明，在definition_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-002,target_fault,请依据当前提供的教材材料与参考材料，讲清五行生克制化的核心定义，核对两者口径并整理三个复习要点。,五行相生体现促进资生，相克体现制约约束，二者共同维持动态协调。,《隔离评测教材摘录A》关于五行生克制化：五行相生体现促进资生，相克体现制约约束，二者共同维持动态协调。,《隔离评测参考材料B》关于五行生克制化：五行相生与相克含义完全相同，都只表示单向促进，不包含制约关系。,contradiction,relation_reversal,两条证据针对同一原子声明，在relation_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-003,target_fault,请依据当前提供的教材材料与参考材料，讲清心藏象的核心定义，核对两者口径并整理三个复习要点。,心的主要生理功能包括主血脉，并与神志活动密切相关。,《隔离评测教材摘录A》关于心藏象：心的主要生理功能包括主血脉，并与神志活动密切相关。,《隔离评测参考材料B》关于心藏象：心不主血脉，也与神志活动没有关系。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-004,target_fault,请依据当前提供的教材材料与参考材料，讲清肺主宣发肃降的核心定义，核对两者口径并整理三个复习要点。,肺的宣发偏向向上向外布散，肃降偏向向下向内清肃通降。,《隔离评测教材摘录A》关于肺主宣发肃降：肺的宣发偏向向上向外布散，肃降偏向向下向内清肃通降。,《隔离评测参考材料B》关于肺主宣发肃降：肺的宣发只向下向内运行，肃降只向上向外布散。,contradiction,direction_swap,两条证据针对同一原子声明，在direction_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-005,target_fault,请依据当前提供的教材材料与参考材料，讲清脾主运化的核心定义，核对两者口径并整理三个复习要点。,脾主运化包括运化水谷和运化水液两个相互联系的方面。,《隔离评测教材摘录A》关于脾主运化：脾主运化包括运化水谷和运化水液两个相互联系的方面。,《隔离评测参考材料B》关于脾主运化：脾主运化只包括运化水谷，完全不涉及水液的运化。,contradiction,scope_exclusion,两条证据针对同一原子声明，在scope_exclusion维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-006,target_fault,请依据当前提供的教材材料与参考材料，讲清肝主疏泄的核心定义，核对两者口径并整理三个复习要点。,肝主疏泄的重要作用之一是调畅全身气机。,《隔离评测教材摘录A》关于肝主疏泄：肝主疏泄的重要作用之一是调畅全身气机。,《隔离评测参考材料B》关于肝主疏泄：肝主疏泄与气机调畅无关，其作用仅限于储藏精气。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-007,target_fault,请依据当前提供的教材材料与参考材料，讲清肾藏精的核心定义，核对两者口径并整理三个复习要点。,肾藏精包括贮藏先天之精和后天之精，并与生长发育生殖相关。,《隔离评测教材摘录A》关于肾藏精：肾藏精包括贮藏先天之精和后天之精，并与生长发育生殖相关。,《隔离评测参考材料B》关于肾藏精：肾不贮藏先天之精或后天之精，也不参与生长发育生殖。,contradiction,scope_negation,两条证据针对同一原子声明，在scope_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-008,target_fault,请依据当前提供的教材材料与参考材料，讲清气血津液关系的核心定义，核对两者口径并整理三个复习要点。,气、血、津液在生成、运行和功能上相互联系、相互影响。,《隔离评测教材摘录A》关于气血津液关系：气、血、津液在生成、运行和功能上相互联系、相互影响。,《隔离评测参考材料B》关于气血津液关系：气、血、津液彼此完全独立，生成和运行之间不存在相互影响。,contradiction,relation_negation,两条证据针对同一原子声明，在relation_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-009,target_fault,请依据当前提供的教材材料与参考材料，讲清经络总论的核心定义，核对两者口径并整理三个复习要点。,经络具有运行气血、联络脏腑形体官窍和沟通内外的作用。,《隔离评测教材摘录A》关于经络总论：经络具有运行气血、联络脏腑形体官窍和沟通内外的作用。,《隔离评测参考材料B》关于经络总论：经络既不运行气血，也不联络脏腑形体官窍。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-010,target_fault,请依据当前提供的教材材料与参考材料，讲清八纲辨证的核心定义，核对两者口径并整理三个复习要点。,八纲由阴阳、表里、寒热、虚实四对纲领组成。,《隔离评测教材摘录A》关于八纲辨证：八纲由阴阳、表里、寒热、虚实四对纲领组成。,《隔离评测参考材料B》关于八纲辨证：八纲只包括表里、寒热和虚实，不包括阴阳。,contradiction,component_exclusion,两条证据针对同一原子声明，在component_exclusion维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-011,target_fault,请依据当前提供的教材材料与参考材料，讲清气血辨证的核心定义，核对两者口径并整理三个复习要点。,气虚侧重功能不足，气滞侧重气机不畅，血虚侧重濡养不足，血瘀侧重血行不畅。,《隔离评测教材摘录A》关于气血辨证：气虚侧重功能不足，气滞侧重气机不畅，血虚侧重濡养不足，血瘀侧重血行不畅。,《隔离评测参考材料B》关于气血辨证：气虚、气滞、血虚和血瘀在病机上没有区别，都只表示血行不畅。,contradiction,category_collapse,两条证据针对同一原子声明，在category_collapse维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-012,target_fault,请依据当前提供的教材材料与参考材料，讲清脏腑辨证的核心定义，核对两者口径并整理三个复习要点。,脏腑辨证依据脏腑生理功能和病理表现辨别病位与证候。,《隔离评测教材摘录A》关于脏腑辨证：脏腑辨证依据脏腑生理功能和病理表现辨别病位与证候。,《隔离评测参考材料B》关于脏腑辨证：脏腑辨证不考虑脏腑功能或病位，只按照症状出现的先后排序。,contradiction,criterion_reversal,两条证据针对同一原子声明，在criterion_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
